"Story","Title","Result","Date","Stability","Duration (s)"
"Store CRUD test with steps","This will get a store list","SUCCESS","2022-01-11T13:26:36.374Z[Europe/London]","0.0","2.78"
"Store CRUD test with steps","This will create a new stores","SUCCESS","2022-01-11T13:26:39.191Z[Europe/London]","0.0","0.42"
